AREA_NAME,Year,Crime_Type,POPULATION_2023,Crime_Count,Crime_Rate_per_1000
Area 1,2014,ASSAULT,7985,3,0.3757044458359424
Area 2,2014,ASSAULT,34924,14,0.4008704615737029
Area 3,2014,ASSAULT,34709,12,0.345731654614077
Area 4,2014,ASSAULT,7756,3,0.3867973182052605
Area 5,2014,ASSAULT,14641,6,0.40980807321904245
Area 6,2014,ASSAULT,36312,15,0.4130865829477859
Area 7,2014,ASSAULT,19182,8,0.4170576582212491
Area 8,2014,ASSAULT,20179,9,0.44600822637395315
Area 9,2014,ASSAULT,32167,21,0.6528429757204589
Area 10,2014,ASSAULT,29172,10,0.3427944604415193
Area 11,2014,ASSAULT,14096,7,0.4965947786606129
Area 12,2014,ASSAULT,35537,19,0.5346540225680277
Area 13,2014,ASSAULT,33980,18,0.529723366686286
Area 14,2014,ASSAULT,12988,9,0.6929473360024637
Area 15,2014,ASSAULT,18535,6,0.3237118964121931
Area 16,2014,ASSAULT,29540,11,0.3723764387271496
Area 17,2014,ASSAULT,11215,10,0.8916629514043691
Area 18,2014,ASSAULT,22982,8,0.3480985118788617
Area 19,2014,ASSAULT,34393,10,0.2907568400546623
Area 20,2014,ASSAULT,33824,10,0.2956480605487228
Area 21,2014,ASSAULT,5040,6,1.1904761904761907
Area 22,2014,ASSAULT,19425,6,0.3088803088803089
Area 23,2014,ASSAULT,12283,9,0.7327200195392005
Area 24,2014,ASSAULT,33501,16,0.4775976836512343
Area 25,2014,ASSAULT,16472,7,0.4249635745507528
Area 26,2014,ASSAULT,17300,9,0.5202312138728323
Area 27,2014,ASSAULT,11133,2,0.17964609718853858
Area 28,2014,ASSAULT,38522,15,0.38938788224910437
Area 29,2014,ASSAULT,26811,15,0.5594718585655141
Area 30,2014,ASSAULT,14639,7,0.4781747387116606
Area 31,2014,ASSAULT,24741,9,0.3637686431429611
Area 32,2014,ASSAULT,14325,5,0.34904013961605584
Area 33,2014,ASSAULT,31509,14,0.44431749658827635
Area 34,2014,ASSAULT,25959,12,0.46226742170345547
Area 35,2014,ASSAULT,19402,9,0.4638697041542109
Area 36,2014,ASSAULT,10966,4,0.36476381542950936
Area 37,2014,ASSAULT,33798,20,0.5917509911829102
Area 38,2014,ASSAULT,31835,12,0.37694361551751215
Area 39,2014,ASSAULT,17048,11,0.645236977944627
Area 40,2014,ASSAULT,20149,15,0.7444538190480917
Area 41,2014,ASSAULT,10026,5,0.4987033712347895
Area 42,2014,ASSAULT,37605,15,0.39888312724371755
Area 43,2014,ASSAULT,21151,10,0.47279088459174506
Area 44,2014,ASSAULT,30558,9,0.294521892794031
Area 45,2014,ASSAULT,19214,6,0.3122723014468617
Area 46,2014,ASSAULT,19286,7,0.36295758581354354
Area 47,2014,ASSAULT,28193,13,0.461107367076934
Area 48,2014,ASSAULT,29557,9,0.30449639679263796
Area 49,2014,ASSAULT,39975,21,0.525328330206379
Area 50,2014,ASSAULT,19490,8,0.4104669061056952
Area 51,2014,ASSAULT,22412,11,0.4908084954488666
Area 52,2014,ASSAULT,17047,7,0.4106294362644453
Area 53,2014,ASSAULT,39723,15,0.3776149837625557
Area 54,2014,ASSAULT,25476,15,0.5887894488930758
Area 55,2014,ASSAULT,22368,12,0.5364806866952789
Area 56,2014,ASSAULT,36541,12,0.3283982375961249
Area 57,2014,ASSAULT,26068,11,0.42197330059843485
Area 58,2014,ASSAULT,35574,17,0.4778771012537246
Area 59,2014,ASSAULT,38752,14,0.361271676300578
Area 60,2014,ASSAULT,23890,13,0.5441607367099205
Area 61,2014,ASSAULT,16283,10,0.6141374439599583
Area 62,2014,ASSAULT,21578,9,0.4170914820650663
Area 63,2014,ASSAULT,31800,17,0.5345911949685535
Area 64,2014,ASSAULT,30901,13,0.4206983592763988
Area 65,2014,ASSAULT,33077,28,0.8465096592798621
Area 66,2014,ASSAULT,8832,7,0.792572463768116
Area 67,2014,ASSAULT,31027,9,0.29006993908531276
Area 68,2014,ASSAULT,19535,8,0.4095213718965959
Area 69,2014,ASSAULT,22532,13,0.5769572164033374
Area 70,2014,ASSAULT,31502,8,0.25395213002349054
Area 71,2014,ASSAULT,27762,7,0.2521432173474534
Area 72,2014,ASSAULT,37952,10,0.26349072512647553
Area 73,2014,ASSAULT,5412,2,0.36954915003695493
Area 74,2014,ASSAULT,15761,6,0.3806865046634097
Area 75,2014,ASSAULT,35570,14,0.3935901040202418
Area 76,2014,ASSAULT,13985,4,0.28602073650339654
Area 77,2014,ASSAULT,19744,9,0.4558346839546191
Area 78,2014,ASSAULT,30945,14,0.45241557602197446
Area 79,2014,ASSAULT,19803,8,0.40397919507145386
Area 80,2014,ASSAULT,11600,5,0.43103448275862066
Area 81,2014,ASSAULT,11789,2,0.16964967342437867
Area 82,2014,ASSAULT,5617,4,0.7121239095602635
Area 83,2014,ASSAULT,36516,15,0.4107788366743345
Area 84,2014,ASSAULT,5538,1,0.18057060310581438
Area 85,2014,ASSAULT,37262,16,0.4293918737587891
Area 86,2014,ASSAULT,35452,10,0.2820715333408553
Area 87,2014,ASSAULT,8624,3,0.34786641929499074
Area 88,2014,ASSAULT,20581,8,0.3887080316797046
Area 89,2014,ASSAULT,24391,5,0.2049936451969989
